province,city,district,address,longitude,latitude,count
湖北省,宜昌市,当阳市,湖北省宜昌市当阳市白庙村,111.7595,30.87586,1
湖北省,宜昌市,远安县,湖北省宜昌市远安县北门村,111.6363,31.083,3
湖北省,宜昌市,夷陵区,湖北省宜昌市夷陵区丁家坝社区,111.3194,30.77584,3
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区葛洲坝街道樵湖二路社区,111.2917,30.72105,14
湖北省,宜昌市,秭归县,湖北省宜昌市秭归县丹阳社区,110.9733,30.82304,1
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区英雄山社区,111.2978,30.72961,14
湖北省,宜昌市,当阳市,湖北省宜昌市当阳市白塔村,111.8336,30.76317,1
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区宜昌高新区东苑管理区珠海路社区,111.319,30.7049,1
湖北省,宜昌市,枝江市,湖北省宜昌市枝江市神龙潭村,111.6966,30.36488,1
湖北省,宜昌市,当阳市,湖北省宜昌市当阳市子龙村,111.7759,30.8105,2
湖北省,宜昌市,伍家岗区,湖北省宜昌市伍家岗区八保塔社区,111.3008,30.68849,1
湖北省,宜昌市,夷陵区,湖北省宜昌市夷陵区李家台村,111.3987,30.68794,2
湖北省,宜昌市,伍家岗区,湖北省宜昌市伍家岗区鑫鼎社区,111.3664,30.63529,1
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区望洲岗社区,111.3078,30.73547,5
湖北省,宜昌市,伍家岗区,湖北省宜昌市伍家岗区白沙脑社区,111.3507,30.64742,12
湖北省,宜昌市,枝江市,湖北省宜昌市枝江市垭子山村,111.4931,30.42307,1
湖北省,宜昌市,远安县,湖北省宜昌市远安县七里村,111.597,31.13304,1
湖北省,宜昌市,枝江市,湖北省宜昌市枝江市董市社区,111.707,30.41127,8
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区西峡社区,111.2925,30.71583,3
湖北省,宜昌市,伍家岗区,湖北省宜昌市伍家岗区古塔社区,111.3291,30.6637,10
湖北省,宜昌市,夷陵区,湖北省宜昌市夷陵区梅花村,111.3017,30.70822,2
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区清波路社区,111.2907,30.7285,12
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区石板社区,111.3417,30.72953,4
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区王家坝社区,111.3248,30.68769,3
湖北省,宜昌市,宜都市,湖北省宜昌市宜都市八字桥社区,111.4485,30.38317,3
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区厦门路,111.3249,30.71238,1
湖北省,宜昌市,宜都市,湖北省宜昌市宜都市三江村,111.4386,30.40669,1
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区翁家堰社区,111.2894,30.70744,1
湖北省,宜昌市,宜都市,湖北省宜昌市宜都市洋溪村,111.5612,30.25059,1
湖北省,宜昌市,兴山县,湖北省宜昌市兴山县夫子社区,110.7491,31.34451,1
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区樵湖岭,111.2861,30.71387,2
湖北省,宜昌市,秭归县,湖北省宜昌市秭归县滨湖社区,110.9671,30.82901,2
湖北省,宜昌市,远安县,湖北省宜昌市远安县航天社区,111.6399,31.06998,2
湖北省,宜昌市,远安县,湖北省宜昌市远安县南门村,111.6448,31.05572,2
湖北省,宜昌市,宜都市,湖北省宜昌市宜都市解放社区,111.4644,30.39328,1
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区环北社区,111.2823,30.70557,2
湖北省,宜昌市,当阳市,湖北省宜昌市当阳市民主村,111.943,30.73247,1
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区丫口社区,111.2774,30.71442,3
湖北省,宜昌市,伍家岗区,湖北省宜昌市伍家岗区建设社区,111.3111,30.68513,4
湖北省,宜昌市,西陵区,湖北省宜昌市西陵区船柴西,111.3026,30.7126,1
湖北省,宜昌市,点军区,湖北省宜昌市点军区朱市街社区,111.2669,30.69505,3
